annot	MC1	MC2	MC3	MC4	MC5	MC6	MC7	MC8	MC9	MC10	MC11	MC12	MC13	MC14	MC15	MC16	MC17	MC18	MC19	MC20
Histological.Tumor.Initial	0.0151280952429292	0.0212462187181371	0.0343006183092048	0.273047059794878	0.0137237745952598	0.00600042443477514	0.000103327565164832	0.00256287608145083	0.000964865433348132	0.0223566377453632	0.0596122358744242	0.0109704966815353	0.0203738987043512	0.00811105728864568	0.0299049607450566	0.000325338512709154	0.044519065431989	1.16047737706545e-05	5.65560363507716e-05	0.000141238447726819
Gender	0.16921436817498	0.793400265386462	0.000564987653260921	0.0133308202941552	0.0294022356785344	0.000264931537790351	0.713970008551873	8.95101029610583e-06	0.0392284659656528	2.13388000650104e-15	0.114528459050481	0.881174493113696	0.83946904674789	2.26149216651346e-07	0.0239700140201117	0.00612623476200778	0.752156972784394	8.18798278342561e-07	0.000757789094053845	3.77258715646118e-05
Age.at.Sampling	0.0219956164931462	0.278204694938238	0.258449910977721	0.310815007798674	0.00104668373569047	0.158543816139449	0.000177024526750159	8.35115423424012e-07	0.0125749289899458	0.0139894617452793	0.116513410829251	0.0429136089449318	0.885486364857566	5.82865177111559e-07	0.416957311441849	2.92283940600329e-05	0.843629287256405	9.18331189085574e-16	3.1112526667181e-06	9.8102384405095e-09
Geographic.Origin.recod	0.164562838935376	0.301802447687001	0.00103389762060192	0.147190920039199	0.388551781314384	0.544635375611308	0.325673401033912	0.195492855034038	0.739995632312744	0.169026479143219	0.491194724094536	0.0723209967652471	0.585314543733997	9.71754284906898e-07	0.40340786159983	0.276780902369474	0.450175223261405	0.0126940949846061	0.405674381063659	0.121841511797534
Alcohol.Intake	0.29689252178216	0.94163152543176	0.199441788481095	3.80578905622985e-06	0.129008508278177	0.10575504730651	0.635913035574323	0.0246464734960641	0.885589072795864	0.124816577617436	0.101547408128597	0.402728618812982	0.249169311797593	1.80820853831912e-06	0.489062466767666	0.00908759878980202	0.354177318911912	0.00723436455067203	0.00783904209155639	0.000820010615578701
Hepatitis.B	0.0530493982881375	0.769909903952008	0.17430421475927	0.244180727944155	0.835944994806774	0.298185178990203	0.55384212277215	0.0856562917633976	0.4681711957926	0.0204562519765518	0.0950033501627798	0.00850527171703827	0.926208432444333	0.000150535048029401	0.995110591384243	0.252540021360316	0.768375673937662	0.00604334575992276	0.161113723445176	0.00644344648024798
Hepatitis.C	0.927126420136004	0.652779171468221	0.705780739825293	0.366305469215345	0.175442794470852	0.184995715393441	0.702460871720624	0.118465092458488	0.00104248267638427	0.0498103834445931	0.90141769943593	0.0470377058002448	0.590351012719194	0.44126845762162	0.314724558223548	0.0687306734121098	0.656286300807913	0.356120679494111	0.728352297210355	0.242353919562451
Tobacco	0.34261811074947	0.300647640117913	0.573320711548648	0.120955178588212	0.870250718566457	0.00122665562310213	0.94022178970799	0.879872570367449	0.1098270388316	0.0998182572621406	0.694155702351535	0.345749060472789	0.533031949323651	0.205124826389815	0.000579579821328585	0.570015609880778	0.890643031803213	0.779990580513095	0.950037185961981	0.908905700828837
normal.Liver.Histology.Recod	0.0219117582147591	0.000461918471522719	0.0866783039164712	0.107129697095906	0.321025018376976	0.445161908160473	0.144908884138558	0.110822242214444	0.307961977737083	9.67617323912031e-06	0.0142574124754761	0.0878091013709692	0.173668412557544	0.00428974332940964	0.596260173917282	0.865652284423879	0.493168718880174	0.221562946455213	0.026335930995398	0.0348576036452727
Largest.nodule.diameter.recod	0.579557480374846	0.276093924191703	0.0709901062971022	0.12739949558418	0.483057181252701	0.850542420654339	0.696689096433514	0.811287985004345	0.0430820473177913	0.00639194236993512	0.628589493454559	0.00745487570485722	0.00259857876415166	0.97780376344348	0.904841710250199	0.824565173889234	0.0203692377533551	0.616886588727969	0.252113040699883	0.481335751228037
