annot	MC1	MC2	MC3	MC4	MC5	MC6	MC7	MC8	MC9	MC10	MC11	MC12	MC13	MC14	MC15	MC16	MC17	MC18	MC19	MC20
Histological.Tumor.Initial	NA	NA	NA	NA	NA	NA	NA	NA	0.0320494622375035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gender	NA	NA	0.0976720466260218	NA	NA	0.0272663030405655	NA	0.0605000463628998	NA	2.08202477927115e-12	NA	NA	NA	0.0531850233289747	NA	NA	NA	0.0877954556625623	0.0997198817867656	NA
Age.at.Sampling	NA	NA	NA	NA	NA	NA	0.000207380419683437	0.00402990438406258	NA	NA	NA	NA	NA	NA	NA	0.00736731285708878	NA	1.20529340851373e-06	0.000108861513625801	0.0182949102360485
Geographic.Origin.recod	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00827092372253154	NA	NA	NA	NA	NA	NA
Alcohol.Intake	NA	NA	NA	0.00481254140717045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hepatitis.B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hepatitis.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tobacco	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
normal.Liver.Histology.Recod	NA	0.00349308878097339	NA	NA	NA	NA	NA	NA	NA	0.0712486006858256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Largest.nodule.diameter.recod	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Edmonson.grade.recod	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vascular.Invasion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inflammation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TERT	NA	NA	NA	NA	0.0150584720294684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0107289388451972	NA	NA	NA
TP53.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTNNB1.alt	NA	NA	0.00191246941291317	NA	NA	NA	NA	0.00818082171289621	NA	0.00132928618071654	0.0636992769039372	0.00622973721451873	9.66600122358825e-08	0.0446236079145341	NA	0.0166240933937964	0.000458085818593723	0.00549881136548994	0.010227489966636	5.7412926751096e-05
AXIN1.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID2.alt	3.73447642977564e-05	NA	NA	NA	NA	NA	NA	0.00390390266928701	NA	0.0301358570310089	NA	NA	NA	NA	0.00609680018570027	NA	NA	0.010733350288327	NA	NA
ARID1A.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NFE2L2.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS6KA3.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KEAP1.alt	NA	0.00179520514487117	NA	NA	0.0089649226883166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDKN2A.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAP1.alt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boyault	NA	NA	NA	NA	NA	NA	NA	0.0937129943282386	NA	NA	NA	NA	0.00436963379887668	0.0346938731882257	NA	NA	NA	NA	NA	NA
MCPcounter_inflamation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0472001436898178	NA	NA	NA	NA	NA	NA
Cyclin.Status	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liver_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0812471376300234	NA	0.000353661889215635
Stem_cell	NA	NA	NA	NA	NA	NA	0.0546450572146655	NA	0.00317665259128229	NA	0.0905821518516784	NA	NA	NA	NA	NA	NA	NA	NA	NA
EMT_metastasis	NA	NA	0.00711443254220479	NA	NA	NA	NA	0.0025057164716469	NA	0.0291808034301721	0.000908488102062707	NA	NA	0.0819988498798314	NA	0.000912036145266247	NA	0.00408141822260105	0.000149503583483353	0.00764802984092757
Differentiation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Proliferation	0.00160197699533455	NA	NA	NA	0.000119270481273092	0.00122668583850567	NA	NA	NA	NA	NA	6.18027176497499e-05	NA	NA	0.0258434137339908	NA	NA	NA	NA	NA
