"iteration"	"MC1"	"MC2"	"MC3"	"MC4"	"MC5"	"MC6"	"MC7"	"MC8"	"MC9"	"MC10"	"MC11"	"MC12"	"MC13"	"MC14"	"MC15"	"MC16"	"MC17"	"MC18"	"MC19"	"MC20"
"it_1"	"it_1"	"19"	"19"	"19"	"7"	"18"	"19"	"19"	"19"	"19"	"17"	"17"	"5"	"16"	"19"	"19"	"19"	"18"	"16"	"19"	"19"
"it_2"	"it_2"	"19"	"19"	"19"	"18"	"19"	"19"	"19"	"16"	"17"	"16"	"19"	"16"	"19"	"19"	"18"	"19"	"5"	"19"	"12"	"19"
"it_3"	"it_3"	"18"	"19"	"16"	"19"	"17"	"16"	"19"	"18"	"19"	"12"	"19"	"19"	"19"	"19"	"19"	"5"	"19"	"19"	"16"	"19"
"it_4"	"it_4"	"16"	"16"	"19"	"19"	"19"	"19"	"18"	"19"	"18"	"19"	"6"	"19"	"17"	"16"	"19"	"19"	"19"	"5"	"19"	"19"
"it_5"	"it_5"	"19"	"18"	"19"	"12"	"19"	"17"	"1"	"19"	"19"	"19"	"19"	"18"	"19"	"5"	"2"	"19"	"19"	"2"	"19"	"19"
"it_6"	"it_6"	"16"	"0"	"19"	"19"	"19"	"19"	"16"	"1"	"19"	"19"	"19"	"0"	"16"	"19"	"19"	"16"	"19"	"19"	"15"	"18"
"it_7"	"it_7"	"19"	"19"	"17"	"19"	"7"	"18"	"19"	"19"	"18"	"19"	"19"	"19"	"5"	"16"	"17"	"19"	"19"	"16"	"19"	"19"
"it_8"	"it_8"	"19"	"19"	"18"	"3"	"18"	"19"	"19"	"19"	"16"	"16"	"12"	"17"	"19"	"19"	"18"	"19"	"16"	"19"	"19"	"19"
"it_9"	"it_9"	"6"	"19"	"19"	"19"	"19"	"19"	"0"	"1"	"2"	"2"	"6"	"19"	"19"	"18"	"19"	"0"	"19"	"19"	"19"	"19"
"it_10"	"it_10"	"19"	"5"	"19"	"19"	"16"	"19"	"7"	"17"	"19"	"19"	"18"	"18"	"19"	"16"	"19"	"19"	"19"	"17"	"19"	"19"
"it_11"	"it_11"	"3"	"19"	"17"	"16"	"18"	"19"	"18"	"12"	"19"	"19"	"16"	"19"	"19"	"19"	"19"	"16"	"18"	"19"	"19"	"19"
"it_12"	"it_12"	"19"	"12"	"7"	"19"	"16"	"19"	"19"	"19"	"19"	"17"	"19"	"19"	"18"	"16"	"19"	"19"	"19"	"16"	"19"	"18"
"it_13"	"it_13"	"19"	"17"	"18"	"19"	"16"	"19"	"7"	"18"	"12"	"19"	"16"	"19"	"19"	"16"	"19"	"19"	"19"	"19"	"19"	"19"
"it_14"	"it_14"	"19"	"16"	"18"	"19"	"18"	"19"	"16"	"19"	"19"	"19"	"5"	"19"	"19"	"19"	"19"	"6"	"19"	"17"	"19"	"16"
"it_15"	"it_15"	"19"	"19"	"19"	"1"	"19"	"19"	"19"	"19"	"2"	"19"	"2"	"15"	"19"	"18"	"12"	"19"	"19"	"5"	"18"	"19"
"it_16"	"it_16"	"16"	"18"	"19"	"8"	"19"	"19"	"19"	"19"	"17"	"19"	"12"	"19"	"19"	"19"	"16"	"18"	"16"	"19"	"19"	"19"
"it_17"	"it_17"	"19"	"16"	"18"	"19"	"19"	"3"	"19"	"19"	"18"	"19"	"19"	"12"	"16"	"19"	"19"	"16"	"19"	"17"	"18"	"19"
"it_18"	"it_18"	"16"	"6"	"19"	"19"	"19"	"16"	"19"	"18"	"5"	"17"	"19"	"19"	"19"	"19"	"19"	"17"	"19"	"19"	"18"	"19"
"it_19"	"it_19"	"19"	"17"	"16"	"19"	"19"	"19"	"19"	"19"	"18"	"19"	"19"	"16"	"5"	"19"	"16"	"19"	"19"	"18"	"19"	"12"
"it_20"	"it_20"	"19"	"16"	"12"	"19"	"18"	"19"	"18"	"16"	"19"	"19"	"19"	"19"	"19"	"16"	"19"	"19"	"17"	"8"	"19"	"19"
