"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"CHC018T"	-0.0158657478374492	-0.0178482287011821	0.0402659018040085	0.0272717506630493	0.0074729515805923	-0.00875084430273168	-0.00454861153640976	0.0276380738846618	0.0202311408528578	-0.062455983865325	-0.0216027898413171	0.0318938446856887	7.46876957312334e-05	0.00273376000612208	-0.00851880885120286	0.0726817358168075	0.0201382684442434	-0.0154021165111389	0.0810055621679478	-0.132236060819002
"CHC229T"	-0.0495285018947073	-0.0303068283784983	0.0134828459880842	-0.0208851941950583	0.0419386967151912	-0.032066755935418	0.0389738858888057	0.053905407945333	-0.00524914224730419	-0.0092801667857093	-0.0281803661535934	-0.00307991834133312	-0.00942220461674168	0.0237052642055042	0.0110256811513158	-0.0369976706079615	-0.176782493551895	-0.00402517847202757	0.04205131856947	0.00609848468213248
"CHC231T"	-0.0271007583872221	-0.00750746831367202	0.0436430424358622	0.0221872211025941	0.0515451288967818	-0.0395637183769821	0.0378174844289032	0.0669574533861879	0.0445417600644889	-0.00080740770366982	-0.0452238007471576	0.0372040019841609	-0.0335190790848581	0.0414937815148252	-0.00689849766281675	0.032881625133871	-0.100464989008268	0.0436297824454533	0.0143277850172692	0.0133229443550178
"CHC013T"	0.00439568420337987	-0.056826680904164	0.0357525629878861	0.0252582329104175	0.0778759596952371	-0.00743693760237706	0.00972851503588953	0.0710674229198543	0.0174027514148681	0.0040986417992607	0.0222194142755687	0.0131383533950902	-0.00463628730657056	0.153243253182888	-0.0151079744724327	0.0327307614935529	-0.00541832265146841	0.0219331988559668	-0.0253265180164944	-0.00829647056019228
"CHC441T"	-0.00018795695228066	-0.0503515388246421	0.00544164575942507	0.0447646552950753	0.0533412952998532	-0.0483939156694747	-0.065857865663812	-0.0147363508026651	0.0671464618749592	0.000445041423895176	0.0112625815943462	-0.0532067661858099	-0.00651746795280628	0.00803957494934118	-0.00500008493768019	0.0542643388999986	-0.0948759721170856	-0.0259050285150452	0.000600382261134791	-0.00548641848550702
"CHC333T"	-0.0573429107245504	-0.0122898327594004	0.0520024662690932	0.0391946608449432	0.0243942774081815	0.0152946321728562	0.00188792890685438	0.0461280996113719	0.0224985000551567	-0.0863729599190171	0.0138566829568916	0.00431716674637472	0.0355422066176381	0.142902416585442	-0.0148899248730678	-0.0133740237331436	0.0157893351976182	-0.0068769713310113	0.0206677861228481	0.0286005583437184
"CHC239T"	-0.0309581209162619	-0.000813039898259191	0.0204174591163724	0.0712514444150313	0.00318702782245012	-0.00822611172079024	0.0076458091484224	0.030119339948255	0.0450288065898007	-0.0662588884429242	-0.0526861547210312	0.0332436373368613	0.0162424673684037	0.000843587906142168	-0.000553230699034769	0.0582393380246026	0.0204894447573394	-0.00676907884893781	0.0920144084092637	-0.157202612394346
"CHC399T"	-0.0415562490258276	-0.00883756155508261	-0.00640843413408611	0.00688299193205522	0.0836301385382046	0.000469833420500731	0.00226632141851593	0.0576618812726536	-0.000387567704837319	0.0242734219404896	0.0136937805322822	-0.0331090063263876	0.00587310906260699	0.0251269672609116	-0.0201327914650942	-0.0579876874602029	0.009944450867704	-0.0255880327447219	-0.0121206736082094	0.0363041861211154
"CHC014T"	-0.000490193632538233	0.00268798975504742	-0.027272289169773	0.0437135289353403	0.0300216256997118	-0.0566310407812258	0.00471331888445822	-0.0188733893450608	0.0214796190203636	-0.00147840265626205	0.0238742010398491	-0.0700760260019173	-0.0131415484713098	0.0198683232776964	0.00796751730667248	0.0572124397626754	-0.0227302901381895	-0.00328198254814931	-0.000143748069904137	-0.0499290825856577
"CHC043T"	-0.0224624646864446	-0.0140768245718712	-0.00823298674039746	0.0435557231213693	0.0409247558852753	-0.0593686306517821	-0.0303903870043672	0.0195290725833503	0.0139377367349295	-0.0212684587715402	0.00707351029524295	-0.0326282754776326	-0.00833524199771674	0.0424916488112646	-0.0219817485947943	0.0910534624614864	-0.0142093257075853	-0.00163754928058434	0.00386951830500454	0.012605974659437
"CHC037T"	-0.0605091168111359	-0.00635341890528787	-0.0301283490435717	0.0315610640370116	0.0406743746908117	-0.0125227113260383	-0.016428110766696	0.0785564180787732	0.00369855605234995	-0.0429208773943111	0.0190463125569695	-0.00199241545018078	0.00590891352475261	0.0721619433365614	0.0163795537858769	-0.000335743801127913	0.0303260726763842	-0.00297630097930833	0.0162263625717557	0.0105764477461193
"CHC339T"	-0.0547868010144156	-0.0100702195179084	0.0186189516899215	0.0129897182142318	0.00188381644999125	-0.0286248785176159	-0.0305914619549906	0.0204198604637275	0.00568558884894738	-0.0734501068863813	-0.0115197386288757	0.00732294778419584	-0.0198943197021416	0.0294405721737021	0.00218797658735697	0.0308195450565319	-0.000959879488260956	-0.000507412408574673	0.0663628163297427	-0.146694704344038
"CHC245T"	0.00144341125999612	0.00145034973529306	-0.00732863228825484	0.02909201670384	0.050195911813102	-0.0504927533632723	0.0157201691672372	0.0184074553726055	0.0211105742800654	-0.0333026411902568	-0.0177429471994713	-0.0594297797689424	-0.0252877858282329	0.0216388355518618	0.0245276536401658	0.00917861042511518	-0.0174004140236791	0.00124560020529695	9.72563894577824e-05	-0.0131680456719638
"CHC253T"	-0.0111633796808591	0.0171105510759162	0.0334510215224676	0.0637907434345308	-0.0431523620747433	-0.0649796107696814	-0.0094696971456784	0.0321581342942891	0.0688039128325202	-0.0435259775265814	-0.0386488513341525	-0.0960729968133482	-0.0188358982190217	0.00307095479714427	0.00447199928679708	0.0931438301009769	0.00918666860482718	0.0293218299997127	0.0203768348700939	-0.0742023633247444
"CHC158T"	-0.018960814421991	0.00845773454592183	-0.0171682737702001	0.0258543656881475	0.0751545500884737	-0.0164458698107751	0.00443292028289097	0.0634414657213791	-0.0115861829024835	-0.0266790048723753	0.00368345605441529	-0.0622659943924611	0.00694748213354916	0.0266550647161797	0.0264314860421651	-0.033959064390896	-0.0148055330569429	0.00316895879477692	-0.0265748107527517	-0.00263367664763842
"CHC445T"	-0.0313002140030831	0.00956097425227912	0.00736774242699788	0.0555211912792647	0.0104801186550889	-0.0326289327407475	0.0105404882611925	0.0549736757573022	0.0393736153938641	-0.0137836620503105	-0.00307038361641481	-0.0930142914120369	-0.0172984972965015	0.0246389822819444	0.0139652669145615	0.0339326173782	0.00117443239291894	0.0363446403925287	-0.00141098061684648	-0.0620648241802985
"CHC080T"	-0.0112833594810162	0.0152964332892139	0.0018884756909831	0.0536743039458621	0.0423205168670181	-0.0363474718743361	0.00972575820548945	0.00898975666292046	0.0289564569892469	0.0143851370263657	0.0304882508375139	-0.0787216958550411	-0.0490999202649019	0.0394367539181317	0.00779856359927628	0.0230010035282834	-0.109239854831342	0.0249654613159004	-0.000350983523897147	-0.0809098978562333
"CHC335T"	-0.00966982756629135	0.0194614507286496	-0.00970577808766923	0.0206363948768909	0.0740146927851674	-0.0460664426891303	0.00557770715105336	0.00173503026082526	0.00772087282561981	-0.000517077418306006	0.000390080194686816	-0.0571587093706522	-0.00262530286272242	0.00808349257211503	-0.0439263229566223	-0.00892005174881161	-0.0111728322490838	0.0295692774075326	0.00194548259387449	0.0167645061811985
"CHC230T"	-0.0857034134758082	-0.00289047359147902	0.0607135796398366	0.0327937303461554	0.00193431105335848	0.0150352331308064	-0.00182626298838789	0.050326505616465	0.0226291625627939	-0.0287559052441399	-0.0155546727563816	-0.00484433170257809	-0.00982139951290366	0.0464113163668417	0.00957020367924649	0.0294063905172922	0.0203760631559055	0.012683302017532	0.028280559024483	-0.0157059238557952
"CHC228T"	-0.0101486055796262	0.000731555441745857	0.0653711405866881	0.0414299578568921	-0.0257983578235123	-0.0197601080882024	-0.0209651189544447	0.029149781873867	0.0371398554904762	-0.0731870836622869	-0.0103584992078063	-0.0255990355171843	-0.0170254795544446	0.0147304741408565	-0.00543280688439143	0.0960042714464512	0.0287813793397604	-0.00464321097916739	0.047525624668486	-0.148390825924304
"CHC010T"	-0.00584006025680117	0.0116196312741481	0.0571968306549373	0.010457028469019	-0.0315437130400025	-0.0117876103137516	-0.0115006245794295	0.027913445380603	0.0479138345167071	-0.083695579816537	-0.00307845708175825	-0.0578030354241388	-0.017894294667852	0.0266210152278387	-0.00191223570683106	0.105890523497167	0.0252457131474587	-5.39948101781762e-05	0.0418075183391456	-0.164459726322158
"CHC137T"	-0.00692673770039684	0.00115467950194561	-0.0218712762690219	0.0197926560249753	0.0942486237329682	-0.0342776874732722	0.0148754202006358	-0.0371931502337139	-0.0233603917575003	0.0254568868580883	0.0229700454879513	-0.0562330882798386	-0.00175153463828551	0.0154766613578881	-0.00701358957546836	-0.00222647461349845	-0.0151857527161685	-0.0330416111287077	-0.0171783865968437	0.0319465983750301
"CHC205T"	-0.0526855664719101	-0.00541135618904181	0.0546737428667387	0.0603323825440305	-0.00368938717910691	-0.028628521812993	-4.13324629154298e-05	0.0294509930931154	0.0724033522793175	-0.0402455480072817	0.0315422763082986	-0.0595756224857099	0.0270005968918398	0.0476975219042834	-0.0159087825153729	0.0631140517061549	-0.102931225843796	0.0143118915424749	-0.022111609606922	-0.127033114222182
"CHC218T"	-0.0445197704837142	0.00895947103209161	0.024229296543781	0.0295830943247516	0.0211616629820553	-0.0403603329809978	0.00281387049480965	0.0658938219622232	0.0177561283906553	-0.013396010238279	-0.0298944744362318	-0.0188178668722844	-0.0239545917015211	0.0192830441210828	0.017065349329964	0.0146563628162867	-0.00912728977059534	0.0193987023761154	-0.00548454228410532	-0.00093918897982434
"CHC081T"	-0.0505076771920821	0.00460489671382956	0.019493589590671	-0.021991539999095	0.0437417577960059	-0.0213966270533674	0.0520955862831201	0.0663126853767271	0.00922626630026709	-0.0454444618492928	-0.0155948421441852	0.0217779656348425	-0.0126184484955475	0.044154880722404	0.0122900434048398	0.0105095711628103	-0.0933315457120193	0.00985601765317382	0.0151819595174631	0.0111366758985574
"CHC031T"	-0.0165945795081615	-0.033590543198716	0.0111533440558142	0.0314229743240696	0.0549193864928114	-0.0293447401787623	0.0505778462036192	0.0696837409465693	0.0394984854240933	-0.0248522489410017	0.0153822727210675	0.00194475453923754	-0.0546021374464426	0.065585316009048	0.0246462651581816	0.0170891703276241	-0.0478113726244225	-0.00667421173214971	-0.0368792153079958	-0.0250725782673115
"CHC242T"	-0.0794113763570041	-0.0104347602063565	0.0362847790227432	0.0407409867733238	0.0110750321474078	-0.0024118763829183	-0.00955543736416267	0.0565828159023896	0.0191121954833572	-0.0277248648790988	-0.0136739838571075	-0.0516850540232072	-0.016141424846296	0.076875139543383	-0.0164265145505145	0.0139343815705879	0.0252308425172973	0.0123611606054746	0.0174021604261868	-0.0477631156639382
"CHC059T"	-0.0331820589118306	0.0131775443796293	0.0530451217859967	0.0728934644443007	-0.069272977017565	-0.00778896301505532	0.00177648699447739	0.0411498198730946	0.07496976333404	-0.0797755698346844	-0.0264845027918345	-0.126199082389062	0.00146459859814955	0.0370452716369698	-0.00673859013479111	0.100577564577609	0.0383002085554337	0.0114443896694564	0.0355680963951901	-0.140202887163569
"CHC220T"	-0.031500097734355	0.0126122108610264	0.0598445916478909	0.0733000532308785	-0.0767526823492674	-0.0422348641735874	-0.00663363017351067	0.048426499446202	0.0666013211936937	-0.0758194059125747	-0.0250046354981554	-0.113008422659655	-0.00151934684198849	0.0371174470765198	0.00876055280615035	0.0960134627748267	0.0421929648492179	0.019539758226955	0.040626286583628	-0.123584281690454
"CHC206T"	-0.0322460911193203	0.00947265821110213	0.0584928649272695	0.0739651958787623	-0.0666062562295175	-0.0341450778277274	-0.000441759003404249	0.0474024161292359	0.0696966304796645	-0.0709949171102594	-0.0271690678209542	-0.103011353001113	-0.00227914603345327	0.0278132203793599	0.00822445743614463	0.0879667557836909	0.0360143786402922	0.017616508656514	0.0411525887976622	-0.105002947918037
"CHC152T"	-0.0432198273613831	-0.0041485920007853	0.0703454711143433	0.0609379904784142	-0.0454264243434847	-0.0386903664546986	-0.0140140576183171	0.0360556229175218	0.055949216733436	-0.0570223722592679	-0.0199501579729962	-0.0415358076696635	-0.0133465274708613	0.0403667181376051	0.00290477523656684	0.061643330748958	0.0334541875689336	0.00957554711868461	0.0392992058995768	-0.0868368942855452
"CHC046T"	-0.00986544800148906	-0.0133068553670942	9.61004634995044e-05	0.036148289523648	0.0367628235253839	-0.0707884520252519	-0.018803238846498	-0.00493977455456399	0.0144628557622666	-0.0107926311007375	0.0215984485376247	-0.0572510354724429	0.000652817986371741	0.0292416700609504	-0.0314457530175446	0.0822287066551627	-0.0106051986904884	0.000768628398417112	0.0208459099336102	-0.0145640407893429
"CHC211T"	-0.00576377524560439	0.0168471621858032	0.0200936019623828	0.0541788559166304	-0.00657593366439394	-0.0584578492974422	-0.00359220029509531	0.0285394440370441	0.0445697056322476	-0.0277589971990611	0.00465979296075782	-0.0894397911169525	-0.00385232378608552	0.0177058004421792	0.00537576638285955	0.0492446494022396	-0.00114896434255642	0.0234054251863832	0.00304465218085183	-0.068440690350135
"CHC437T"	-0.0658734350214115	0.0240955882316309	0.0323493403489744	0.062602268389622	0.0405242374136606	0.0172881770683371	-0.0125196642520811	0.0825610391741564	0.0176329225861236	-0.00416649003575958	-0.017607019936548	-0.0260817566373241	-0.00372921206147555	0.104712804690948	0.0149585768433458	0.0243665652516518	-0.00392704108993126	0.0240253568251088	-0.0436144055821105	-0.047607844559227
"CHC725T"	-0.0921778278296458	0.0273698412139809	0.0446265110507283	0.0435479317523855	0.00322368423991375	-0.0129576976732298	0.00841180699073576	0.0549648513004051	0.0288694758455018	-0.0450621515521773	-0.0155638920242929	-0.0281316317639146	-0.0386758191798557	0.023534540585276	0.0159982180882723	0.0313716482640911	-0.036678674467846	0.0192988263704999	0.0133465368141209	-0.0332515451810198
"CHC317T"	-0.0601600266489641	-0.00258298555135196	0.0680967725170629	0.0102799163988606	0.00455409724566727	0.00289676059536377	-0.00249305865553435	0.0442141292229878	0.0161955714301444	-0.0437177857149493	0.00706475980303195	-0.0561816534413928	-0.0118827604085249	0.0809767381535985	0.00538101172529546	0.0517153280784241	0.0115342703765022	0.0396415853634805	0.0213278927723822	-0.0909626116342515
"CHC789T"	-0.0307365515619202	0.00817412075079443	0.0394320386806314	0.0572244131332486	-0.01926808430959	-0.0571253064818753	-0.0136694279868404	0.043779165424971	0.05794030078695	-0.0297518986387777	-0.0140297831656257	-0.0508127442264513	-0.0440836398347796	0.00960498811716332	0.00179400634621419	0.057930029403052	-0.0144780733148175	0.0166999424244565	0.0125638167002902	-0.0557417987408351
